UUID	Barcode	Short Barcode
693578fd-91d0-447e-ba98-dcaabec8b4db	TCGA-OR-A5JS-01A	TCGA-OR-A5JS-01
46b7eb7c-e5f7-476d-a68c-5972f947445f	TCGA-OR-A5J2-01A	TCGA-OR-A5J2-01
ee6f808d-bbd6-4e44-b17b-0f6673a6364f	TCGA-OR-A5KQ-01A	TCGA-OR-A5KQ-01
6f8fad82-5a17-4be4-8215-f8f86a8350f6	TCGA-OR-A5LF-10A	TCGA-OR-A5LF-10
c686abc9-5dbd-4694-8988-7995bdf53798	TCGA-OR-A5KP-01A	TCGA-OR-A5KP-01
f37b5a9a-ca76-4422-ac70-655b16cd37d7	TCGA-P6-A5OH-11A	TCGA-P6-A5OH-11
f48ee194-9f33-417d-afbd-a383e9d38476	TCGA-OR-A5KQ-10A	TCGA-OR-A5KQ-10
8452f144-76c0-4223-a7e9-a81ad9ea85f4	TCGA-OR-A5L1-01A	TCGA-OR-A5L1-01
1669ecaa-fe72-4530-88b1-d37ba23e0a15	TCGA-OR-A5L1-10A	TCGA-OR-A5L1-10
9058517a-6bd7-4c33-8339-0e7f4c2d5616	TCGA-OR-A5KP-10A	TCGA-OR-A5KP-10
e9fc10af-598a-4b10-84b0-c77131daae5b	TCGA-P6-A5OH-01A	TCGA-P6-A5OH-01
fc29b5b8-0e57-4fa7-b9fe-69c5a0b1d83f	TCGA-OR-A5KB-01A	TCGA-OR-A5KB-01
c82fb2b6-aced-4b03-b8ec-af356496c071	TCGA-OR-A5KB-11A	TCGA-OR-A5KB-11
18683430-ee50-4228-a1d0-0c9de0c0f25f	TCGA-PK-A5HC-01A	TCGA-PK-A5HC-01
92d49bf6-f6ba-47dc-af62-da479eed071e	TCGA-PK-A5HC-11A	TCGA-PK-A5HC-11
65d78b08-0b5c-415b-a4e3-41111eb42c09	TCGA-OR-A5L2-01A	TCGA-OR-A5L2-01
b59782fb-1566-440f-8a7f-8663a552351c	TCGA-OR-A5L2-10A	TCGA-OR-A5L2-10
e4bf6516-5305-4917-b278-f3c993884758	TCGA-OR-A5LI-01A	TCGA-OR-A5LI-01
d73c067c-18bc-4656-9d8b-133037272ef0	TCGA-OR-A5LI-10A	TCGA-OR-A5LI-10
67924e9c-059b-4c9c-861e-4c33e9bf5d57	TCGA-OR-A5KS-01A	TCGA-OR-A5KS-01
7e3f5840-5f91-48e8-a9b3-94beeb419e4e	TCGA-OR-A5KS-10A	TCGA-OR-A5KS-10
cc20ef21-77be-49f3-8cc5-cac498fe57f3	TCGA-OR-A5JU-01A	TCGA-OR-A5JU-01
460856e4-8ed2-487c-b7c7-4a83f936310e	TCGA-OR-A5JU-10A	TCGA-OR-A5JU-10
0b547426-8d18-42db-9832-91d5cba7c370	TCGA-OR-A5LF-01A	TCGA-OR-A5LF-01
7bbf0a45-a675-4f05-ac45-9e92ba55d542	TCGA-OU-A5PI-01A	TCGA-OU-A5PI-01
a37b1255-a17c-49e9-97f7-8525aee7438b	TCGA-OU-A5PI-10A	TCGA-OU-A5PI-10
fc7aa029-f103-41fb-add3-dd6070a13daf	TCGA-OR-A5L3-01A	TCGA-OR-A5L3-01
e7768ad9-7b73-4740-8a4a-0c8572fe8161	TCGA-OR-A5L3-10A	TCGA-OR-A5L3-10
425eba8d-43c0-4c68-8e18-90cd097272c3	TCGA-OR-A5JC-10A	TCGA-OR-A5JC-10
3a56df78-5e32-4e8a-9b69-23cb8f781368	TCGA-OR-A5LN-01A	TCGA-OR-A5LN-01
30857904-51f9-4dbf-b149-4ac1d4c31f7b	TCGA-OR-A5LN-10A	TCGA-OR-A5LN-10
1729d2d8-5722-4579-950c-55b14167c9fd	TCGA-PK-A5HA-01A	TCGA-PK-A5HA-01
5dfdd66b-e079-4b5a-959e-a5558836d2f7	TCGA-OR-A5JH-01A	TCGA-OR-A5JH-01
87b9fe70-7847-4436-98cc-5c756c99ef80	TCGA-OR-A5JH-10A	TCGA-OR-A5JH-10
2c8d4883-588e-441e-b20c-6208346d1f23	TCGA-OR-A5JY-01A	TCGA-OR-A5JY-01
ea6511bb-0810-4005-af90-5eda29d17db3	TCGA-OR-A5JY-10A	TCGA-OR-A5JY-10
ebfaaae3-9a83-498d-aa97-7cf19208d2da	TCGA-OR-A5L8-01A	TCGA-OR-A5L8-01
